GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.region,CoherenceRegionValue,274,0,38,0,57,0,33,0,14,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.region,CoherenceRegion,291,0,34,0,74,0,40,0,23,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.region,CoherenceRegionValue.SoftLock,100,0,10,0,24,0,10,0,5,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access,CoherenceReadWriteEntityAccess,142,0,8,0,19,0,14,0,10,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access,CoherenceDomainDataRegionImpl,147,0,13,0,25,0,19,0,11,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access,AbstractReadWriteCoherenceEntityDataAccess,172,0,8,0,30,0,13,0,9,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access,CoherenceReadWriteCollectionAccess,21,0,0,0,5,0,4,0,4,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access,CoherenceReadOnlyEntityAccess,143,0,8,0,20,0,14,0,10,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access,CoherenceReadWriteNaturalIdAccess,91,0,8,0,19,0,14,0,10,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access,CoherenceNonstrictReadWriteCollectionAccess,21,0,0,0,5,0,4,0,4,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access,CoherenceReadOnlyNaturalIdAccess,90,0,8,0,19,0,13,0,9,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access,CoherenceNonstrictReadWriteEntityAccess,138,0,8,0,21,0,14,0,10,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access,AbstractCoherenceEntityDataAccess,294,0,26,0,70,0,36,0,23,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access,CoherenceNonstrictReadWriteNaturalIdAccess,85,0,8,0,20,0,13,0,9,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access,CoherenceStorageAccessImpl,40,0,0,0,16,0,10,0,10,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access,CoherenceReadOnlyCollectionAccess,21,0,0,0,5,0,4,0,4,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53,CoherenceRegionFactory,322,0,32,0,85,0,35,0,19,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access.processor,AfterUpdateProcessor,46,0,4,0,14,0,4,0,2,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access.processor,AfterInsertProcessor,20,0,2,0,7,0,3,0,2,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access.processor,SoftUnlockItemProcessor,28,0,2,0,9,0,3,0,2,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access.processor,SoftLockItemProcessor,29,0,2,0,10,0,3,0,2,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access.processor,ReadWritePutFromLoadProcessor,50,0,6,0,15,0,5,0,2,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access.processor,GetProcessor,20,0,4,0,7,0,4,0,2,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.access.processor,PutFromLoadProcessor,26,0,4,0,8,0,4,0,2,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.configuration.support,Assert,23,0,4,0,8,0,5,0,3,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.configuration.support,CoherenceHibernateProperties,184,0,28,0,49,0,21,0,7,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.configuration.support,CoherenceHibernateSystemPropertyResolver,126,0,18,0,34,0,16,0,7,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.configuration.support,StringUtils,37,0,10,0,8,0,8,0,3,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.configuration.support,ConfigUtils,115,0,2,0,19,0,4,0,3,0
Coherence Hibernate Website/coherence-hibernate-cache-53,com.oracle.coherence.hibernate.cache.v53.configuration.session,SessionType,15,0,0,0,3,0,1,0,1,0
Coherence Hibernate Website/coherence-hibernate-cache-6,com.oracle.coherence.hibernate.cache.v6.configuration.session,SessionType,15,0,0,0,3,0,1,0,1,0
Coherence Hibernate Website/coherence-hibernate-cache-6,com.oracle.coherence.hibernate.cache.v6,CoherenceRegionFactory,322,0,32,0,85,0,35,0,19,0
Coherence Hibernate Website/coherence-hibernate-cache-6,com.oracle.coherence.hibernate.cache.v6.access.processor,AfterInsertProcessor,20,0,2,0,7,0,3,0,2,0
Coherence Hibernate Website/coherence-hibernate-cache-6,com.oracle.coherence.hibernate.cache.v6.access.processor,ReadWritePutFromLoadProcessor,50,0,6,0,15,0,5,0,2,0
Coherence Hibernate Website/coherence-hibernate-cache-6,com.oracle.coherence.hibernate.cache.v6.access.processor,AfterUpdateProcessor,46,0,4,0,14,0,4,0,2,0
Coherence Hibernate Website/coherence-hibernate-cache-6,com.oracle.coherence.hibernate.cache.v6.access.processor,PutFromLoadProcessor,26,0,4,0,8,0,4,0,2,0
Coherence Hibernate Website/coherence-hibernate-cache-6,com.oracle.coherence.hibernate.cache.v6.access.processor,SoftLockItemProcessor,29,0,2,0,10,0,3,0,2,0
Coherence Hibernate Website/coherence-hibernate-cache-6,com.oracle.coherence.hibernate.cache.v6.access.processor,GetProcessor,20,0,4,0,7,0,4,0,2,0
